phase,treatment,outcome,variable,coef,se,pval
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t1,income_bracket_8.0,27.457695428787318,40.216977145131146,0.49477496051915804
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t1,income_bracket_9.0,3.607050775344185,35.78009375049818,0.9197003673748034
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t1,income_bracket_10.0,-18.957054239696816,52.087665724759916,0.7159004764703477
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t1,income_bracket_11.0,57.10904477290453,57.11379517890807,0.317355544768155
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,(Intercept),33.572939213269834,2.582982673470409,1.4605108230341937e-38
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,age_range_18.25,-12.582281623042697,39.04314011111427,0.747252471041755
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,age_range_26.35,8.878116106145601,38.13708756131174,0.8159217183579698
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,age_range_36.45,-7.5124897919695295,36.71576521681281,0.837876054897307
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,age_range_46.55,-41.858598071174555,38.859235051246586,0.2814028004462042
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,age_range_56.70,-29.03117361517312,39.0884103911401,0.45766363218332495
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,age_range_70.,-18.171816225424884,38.56477129278948,0.6374982475257923
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,family_size_1,24.025368095947904,18.297778581204028,0.1891820350548134
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,family_size_2,29.95807443018628,18.253610022464848,0.10075951105935176
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,family_size_3,34.74581581659806,19.67065721140138,0.07733870637791555
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,family_size_4,-5.829798649127845,23.776112444951444,0.8063059980033278
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,income_bracket_1.0,-5.690247875783435,37.19437207530477,0.878409319108033
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,income_bracket_2.0,30.491255517609282,35.543338759234345,0.39097325738634947
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,income_bracket_3.0,34.707547543855966,35.870003520434096,0.333252702933711
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,income_bracket_4.0,31.646833468982056,34.861659241434964,0.3639971842762435
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,income_bracket_5.0,42.85837123291786,35.224120105401475,0.22371146628566457
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,income_bracket_6.0,16.345552825289023,35.597741757790864,0.646111358621849
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,income_bracket_7.0,48.32572060698165,37.86573965378526,0.20187724155468592
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,income_bracket_8.0,14.969274103236513,41.39028956398049,0.7176065682956234
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,income_bracket_9.0,9.3097547881743,40.772467554299446,0.8193872806546723
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,income_bracket_10.0,-17.51897291622421,55.86820100399686,0.7538438057836795
Phase 1 - Full,treatment_drugstore items,avg_daily_expenditure_t2,income_bracket_11.0,43.58543240610118,64.12096943003196,0.4966738620653689
Phase 1 - Full,treatment_other food,avg_daily_expenditure,(Intercept),47.7286846721248,4.177912290854278,3.5124909614041466e-30
Phase 1 - Full,treatment_other food,avg_daily_expenditure,age_range_18.25,-96.19066825834322,64.04611389161416,0.1331311893089147
Phase 1 - Full,treatment_other food,avg_daily_expenditure,age_range_26.35,-124.33609425894053,51.47588330421565,0.015721115956711926
Phase 1 - Full,treatment_other food,avg_daily_expenditure,age_range_36.45,-138.7619610384468,49.40614635595808,0.004978073662093082
Phase 1 - Full,treatment_other food,avg_daily_expenditure,age_range_46.55,-135.52511674464387,51.50702931520754,0.008511575617169496
Phase 1 - Full,treatment_other food,avg_daily_expenditure,age_range_56.70,-116.35238369161475,53.55109250583591,0.029805744545925543
Phase 1 - Full,treatment_other food,avg_daily_expenditure,age_range_70.,-107.3531529333126,53.21845235607385,0.04367922188467971
Phase 1 - Full,treatment_other food,avg_daily_expenditure,family_size_1,14.010636660625165,26.06108362088521,0.5908508172560796
Phase 1 - Full,treatment_other food,avg_daily_expenditure,family_size_2,-18.44277935484108,26.03978683895239,0.4787915426014432
Phase 1 - Full,treatment_other food,avg_daily_expenditure,family_size_3,-21.520222707267017,29.703984409934755,0.4687693330018099
Phase 1 - Full,treatment_other food,avg_daily_expenditure,family_size_4,-25.716295046520887,33.74159858823232,0.445972345720962
Phase 1 - Full,treatment_other food,avg_daily_expenditure,income_bracket_1.0,172.20881346307374,58.47425463296095,0.003230928246335893
Phase 1 - Full,treatment_other food,avg_daily_expenditure,income_bracket_2.0,138.1936103998849,46.42468223921486,0.002915085374122556
